Date,Permintaan
14/10/2023,108.11
15/10/2023,117.12
16/10/2023,90.09
17/10/2023,90.09
18/10/2023,90.09
19/10/2023,90.09
20/10/2023,90.09
21/10/2023,108.11
22/10/2023,117.12
23/10/2023,90.09
24/10/2023,90.09
25/10/2023,90.09
26/10/2023,90.09
27/10/2023,90.09
28/10/2023,108.11
29/10/2023,117.12
30/10/2023,90.09
31/10/2023,90.09
01/11/2023,93.75
02/11/2023,93.75
03/11/2023,93.75
04/11/2023,112.5
05/11/2023,121.88
06/11/2023,93.75
07/11/2023,93.75
08/11/2023,93.75
09/11/2023,93.75
10/11/2023,93.75
11/11/2023,112.5
12/11/2023,121.88
13/11/2023,93.75
14/11/2023,93.75
15/11/2023,93.75
16/11/2023,93.75
17/11/2023,93.75
18/11/2023,112.5
19/11/2023,121.88
20/11/2023,93.75
21/11/2023,93.75
22/11/2023,93.75
23/11/2023,93.75
24/11/2023,93.75
25/11/2023,112.5
26/11/2023,121.88
27/11/2023,93.75
28/11/2023,93.75
29/11/2023,93.75
30/11/2023,93.75
01/12/2023,89.55
02/12/2023,107.46
03/12/2023,116.42
04/12/2023,89.55
05/12/2023,89.55
06/12/2023,89.55
07/12/2023,89.55
08/12/2023,89.55
09/12/2023,107.46
10/12/2023,116.42
11/12/2023,89.55
12/12/2023,89.55
13/12/2023,89.55
14/12/2023,89.55
15/12/2023,89.55
16/12/2023,107.46
17/12/2023,116.42
18/12/2023,89.55
19/12/2023,89.55
20/12/2023,89.55
21/12/2023,89.55
22/12/2023,89.55
23/12/2023,107.46
24/12/2023,116.42
25/12/2023,89.55
26/12/2023,89.55
27/12/2023,89.55
28/12/2023,89.55
29/12/2023,89.55
30/12/2023,107.46
31/12/2023,116.42
01/01/2024,106.06
02/01/2024,106.06
03/01/2024,106.06
04/01/2024,106.06
05/01/2024,106.06
06/01/2024,127.27
07/01/2024,137.88
08/01/2024,106.06
09/01/2024,106.06
10/01/2024,106.06
11/01/2024,106.06
12/01/2024,106.06
13/01/2024,127.27
14/01/2024,137.88
15/01/2024,106.06
16/01/2024,106.06
17/01/2024,106.06
18/01/2024,106.06
19/01/2024,106.06
20/01/2024,127.27
21/01/2024,137.88
22/01/2024,106.06
23/01/2024,106.06
24/01/2024,106.06
25/01/2024,106.06
26/01/2024,106.06
27/01/2024,127.27
28/01/2024,137.88
29/01/2024,106.06
30/01/2024,106.06
31/01/2024,106.06
01/02/2024,112.9
02/02/2024,112.9
03/02/2024,135.48
04/02/2024,146.77
05/02/2024,112.9
06/02/2024,112.9
07/02/2024,112.9
08/02/2024,112.9
09/02/2024,112.9
10/02/2024,135.48
11/02/2024,146.77
12/02/2024,112.9
13/02/2024,112.9
14/02/2024,112.9
15/02/2024,112.9
16/02/2024,112.9
17/02/2024,135.48
18/02/2024,146.77
19/02/2024,112.9
20/02/2024,112.9
21/02/2024,112.9
22/02/2024,112.9
23/02/2024,112.9
24/02/2024,135.48
25/02/2024,146.77
26/02/2024,112.9
27/02/2024,112.9
28/02/2024,112.9
29/02/2024,112.9
01/03/2024,104.48
02/03/2024,125.38
03/03/2024,135.82
04/03/2024,104.48
05/03/2024,104.48
06/03/2024,104.48
07/03/2024,104.48
08/03/2024,104.48
09/03/2024,125.38
10/03/2024,135.82
11/03/2024,104.48
12/03/2024,104.48
13/03/2024,104.48
14/03/2024,104.48
15/03/2024,104.48
16/03/2024,125.38
17/03/2024,135.82
18/03/2024,104.48
19/03/2024,104.48
20/03/2024,104.48
21/03/2024,104.48
22/03/2024,104.48
23/03/2024,125.38
24/03/2024,135.82
25/03/2024,104.48
26/03/2024,104.48
27/03/2024,104.48
28/03/2024,104.48
29/03/2024,104.48
30/03/2024,125.38
31/03/2024,135.82
01/04/2024,109.38
02/04/2024,109.38
03/04/2024,109.38
04/04/2024,109.38
05/04/2024,109.38
06/04/2024,131.26
07/04/2024,142.19
08/04/2024,109.38
09/04/2024,109.38
10/04/2024,109.38
11/04/2024,109.38
12/04/2024,109.38
13/04/2024,131.26
14/04/2024,142.19
15/04/2024,109.38
16/04/2024,109.38
17/04/2024,109.38
18/04/2024,109.38
19/04/2024,109.38
20/04/2024,131.26
21/04/2024,142.19
22/04/2024,109.38
23/04/2024,109.38
24/04/2024,109.38
25/04/2024,109.38
26/04/2024,109.38
27/04/2024,131.26
28/04/2024,142.19
29/04/2024,109.38
30/04/2024,109.38
01/05/2024,106.06
02/05/2024,106.06
03/05/2024,106.06
04/05/2024,127.27
05/05/2024,137.88
06/05/2024,106.06
07/05/2024,106.06
08/05/2024,106.06
09/05/2024,106.06
10/05/2024,106.06
11/05/2024,127.27
12/05/2024,137.88
13/05/2024,106.06
14/05/2024,106.06
15/05/2024,106.06
16/05/2024,106.06
17/05/2024,106.06
18/05/2024,127.27
19/05/2024,137.88
20/05/2024,106.06
21/05/2024,106.06
22/05/2024,106.06
23/05/2024,106.06
24/05/2024,106.06
25/05/2024,127.27
26/05/2024,137.88
27/05/2024,106.06
28/05/2024,106.06
29/05/2024,106.06
30/05/2024,106.06
31/05/2024,106.06
01/06/2024,129.23
02/06/2024,140.0
03/06/2024,107.69
04/06/2024,107.69
05/06/2024,107.69
06/06/2024,107.69
07/06/2024,107.69
08/06/2024,129.23
09/06/2024,140.0
10/06/2024,107.69
11/06/2024,107.69
12/06/2024,107.69
13/06/2024,107.69
14/06/2024,107.69
15/06/2024,129.23
16/06/2024,140.0
17/06/2024,107.69
18/06/2024,107.69
19/06/2024,107.69
20/06/2024,107.69
21/06/2024,107.69
22/06/2024,129.23
23/06/2024,140.0
24/06/2024,107.69
25/06/2024,107.69
26/06/2024,107.69
27/06/2024,107.69
28/06/2024,107.69
29/06/2024,129.23
30/06/2024,140.0
01/07/2024,106.06
02/07/2024,106.06
03/07/2024,106.06
04/07/2024,106.06
05/07/2024,106.06
06/07/2024,127.27
07/07/2024,137.88
08/07/2024,106.06
09/07/2024,106.06
10/07/2024,106.06
11/07/2024,106.06
12/07/2024,106.06
13/07/2024,127.27
14/07/2024,137.88
15/07/2024,106.06
16/07/2024,106.06
17/07/2024,106.06
18/07/2024,106.06
19/07/2024,106.06
20/07/2024,127.27
21/07/2024,137.88
22/07/2024,106.06
23/07/2024,106.06
24/07/2024,106.06
25/07/2024,106.06
26/07/2024,106.06
27/07/2024,127.27
28/07/2024,137.88
29/07/2024,106.06
30/07/2024,106.06
31/07/2024,106.06
01/08/2024,105.42
02/08/2024,105.42
03/08/2024,126.5
04/08/2024,137.05
05/08/2024,105.42
06/08/2024,105.42
07/08/2024,105.42
08/08/2024,105.42
09/08/2024,105.42
10/08/2024,126.5
11/08/2024,137.05
12/08/2024,105.42
13/08/2024,105.42
14/08/2024,105.42
15/08/2024,105.42
16/08/2024,105.42
17/08/2024,126.5
18/08/2024,137.05
19/08/2024,105.42
20/08/2024,105.42
21/08/2024,105.42
22/08/2024,105.42
23/08/2024,105.42
24/08/2024,126.5
25/08/2024,137.05
26/08/2024,105.42
27/08/2024,105.42
28/08/2024,105.42
29/08/2024,105.42
30/08/2024,105.42
31/08/2024,126.5
01/09/2024,140.87
02/09/2024,108.36
03/09/2024,108.36
04/09/2024,108.36
05/09/2024,108.36
06/09/2024,108.36
07/09/2024,130.03
08/09/2024,140.87
09/09/2024,108.36
10/09/2024,108.36
11/09/2024,108.36
12/09/2024,108.36
13/09/2024,108.36
14/09/2024,130.03
15/09/2024,140.87
16/09/2024,108.36
17/09/2024,108.36
18/09/2024,108.36
19/09/2024,108.36
20/09/2024,108.36
21/09/2024,130.03
22/09/2024,140.87
23/09/2024,108.36
24/09/2024,108.36
25/09/2024,108.36
26/09/2024,108.36
27/09/2024,108.36
28/09/2024,130.03
29/09/2024,140.87
30/09/2024,108.36
01/10/2024,106.06
02/10/2024,106.06
03/10/2024,106.06
04/10/2024,106.06
05/10/2024,127.27
06/10/2024,137.88
07/10/2024,106.06
08/10/2024,106.06
09/10/2024,106.06
10/10/2024,106.06
11/10/2024,106.06
12/10/2024,127.27
13/10/2024,137.88
14/10/2024,106.06
15/10/2024,106.06
16/10/2024,106.06
17/10/2024,106.06
18/10/2024,106.06
19/10/2024,127.27
20/10/2024,137.88
21/10/2024,106.06
22/10/2024,106.06
23/10/2024,106.06
24/10/2024,106.06
25/10/2024,106.06
26/10/2024,127.27
27/10/2024,137.88
28/10/2024,106.06
29/10/2024,106.06
30/10/2024,106.06
31/10/2024,106.06
01/11/2024,108.7
02/11/2024,130.44
03/11/2024,141.31
04/11/2024,108.7
05/11/2024,108.7
06/11/2024,108.7
07/11/2024,108.7
08/11/2024,108.7
09/11/2024,130.44
10/11/2024,141.31
11/11/2024,108.7
12/11/2024,108.7
13/11/2024,108.7
14/11/2024,108.7
15/11/2024,108.7
16/11/2024,130.44
17/11/2024,141.31
18/11/2024,108.7
19/11/2024,108.7
20/11/2024,108.7
21/11/2024,108.7
22/11/2024,108.7
23/11/2024,130.44
24/11/2024,141.31
25/11/2024,108.7
26/11/2024,108.7
27/11/2024,108.7
28/11/2024,108.7
29/11/2024,108.7
30/11/2024,130.44
01/12/2024,136.64
02/12/2024,105.11
03/12/2024,105.11
04/12/2024,105.11
05/12/2024,105.11
06/12/2024,105.11
07/12/2024,126.13
08/12/2024,136.64
09/12/2024,105.11
10/12/2024,105.11
11/12/2024,105.11
12/12/2024,105.11
13/12/2024,105.11
14/12/2024,126.13
15/12/2024,136.64
16/12/2024,105.11
17/12/2024,105.11
18/12/2024,105.11
19/12/2024,105.11
20/12/2024,105.11
21/12/2024,126.13
22/12/2024,136.64
23/12/2024,105.11
24/12/2024,105.11
25/12/2024,105.11
26/12/2024,105.11
27/12/2024,105.11
28/12/2024,126.13
29/12/2024,136.64
30/12/2024,105.11
31/12/2024,105.11
